huge,巨大な
tiny,ごく小さな
major,大きなほうの
minor,小さいほうの
dry,乾いた
dirty,汚い
loud,大きい
tough,困難な・頑丈な
knock,ノックする
shut,閉める
lift,持ち上げる
press,押す
fold,折りたたむ
stretch,伸ばす
figure,姿・図形
square,正方形
circle,円・団体
level,水平・水準
sheet,一枚・シーツ
row,列・並び
total,全体の・総計
amount,量・総計
quantity,量・数量
mass,大きな塊・多量
pile,積み重ねる
lack,不足・欠乏
dull,鈍い・つまらない
lazy,怠惰な
silly,馬鹿馬鹿しい・愚かな
foolish,愚かな
rude,失礼な
ugly,醜い・不快な
pale,青白い
horrible,恐ろしい
awful,恐ろしい・ひどい
scold,しかる
punish,罰する
criticize,批判する
complain,不満を言う
refuse,断る・拒む
avoid,避ける
general,全体的な・一般的な
normal,標準の・正常な
regular,規則的な・いつもの
particular,特定の・特別の
rare,まれな
local,その土地の
global,世界的な・全体的な
leisure,ひま・余暇
fashion,流行
furniture,家具
photo,写真
screen,画面
display,陳列する・示す
sharp,鋭い
tight,きつい
obvious,明白な
plain,明らかな・わかりやすい・平原
brief,短時間の・簡潔な
agriculture,農業
soil,土・土地
crop,農作物
grain,穀物
greenhouse,温室
occasion,時・機会
opportunity,機会
circumstance,事情・状況
situation,状況・位置
instant,即座の
primitive,時代の・原始的な
ancient,古代の
final,最後の
annual,毎年の
lately,近頃
recently,最近
immediately,ただちに
afterward,あとで
smoke,煙
gas,気体
ash,灰
dust,ちり・ほこり
whether,かどうか
unless,でない限り
except,を除いて
besides,のほかに・に加えて
beyond,の向こうに・を越えて
within,以内に
throughout,の間ずっと
despite,にもかかわらず
per,につき
tool,道具
equipment,設備・用具
instrument,器具・計器
switch,スイッチ
cell phone,携帯電話
industry,産業・工業
market,市場
goods,商品
service,奉仕・便
cooperation,協力
project,計画
benefit,利益・恩恵
loss,失うこと・損失
earn,稼ぐ
rent,貸し借りする(借りる)
economic,経済の
clone,クローン
entertainment,娯楽
slave,奴隷
advance,進める
progress,前進する
approach,近づく
behave,ふるまう
chase,追いかける
recover,回復する
overcome,打ち勝つ
bake,焼く
boil,わかす・沸騰する
melt,溶かす
serve,仕える・出す
feed,えさを与える・えさ
flavor,味・風味
competition,競争
battle,戦闘
force,力
army,軍隊
soldier,兵士
victory,勝利
victim,犠牲者・被害者
defeat,敗北
tank,水槽・タンク・戦車
beg,請う・頼む
remind,思い出させる
encourage,励ます・奨励する
relieve,安心させる
fascinate,魅了する
flow,流れる
float,浮かぶ
pour,注ぐ
splash,はねかける・飛び散る
expect,予期する
concern,心配させる
hesitate,ためらう
disappoint,失望させる
regret,後悔する
doubt,疑う
admire,感心する
pray,祈る
rely,あてにする・頼る
resist,抵抗する
politics,政治
democracy,民主主義
freedom,自由
election,選挙
official,公の・公式の
moral,道徳的な
investigation,調査
data,資料・データ
aspect,面
factor,要因
analyze,分析する
focus,焦点を合わせる
concentrate,集中する
effect,影響・効果
consist,から成る・構成される
contain,含む・入っている
remain,残っている・ままである
require,必要とする
adopt,採用する
select,運ぶ
limit,制限する
unite,結合させる・合併する
connect,つなぐ・接続する
ingredient,要素・成分
represent,表す
indicate,指し示す・示す
prove,証明する
reveal,明らかにする
education,教育
experiment,実験
laboratory,研究室
principle,原理・主義
theory,理論・学説
statement,声明
scholarship,奨学金
truly,本当に
ully,十分に
slightly,わずかに・少しだけ
simply,単に・簡単に
gradually,だんだんと
entire,全体の・全部の
extreme,極度の
likely,ありそうな
direction,方向・方面
period,期間
sort,種類
variety,多様性・様々な
grade,等級・成績
rate,割合・率
