flow,流れる
float,浮かぶ
pour,注ぐ
splash,はねかける・飛び散る
expect,予期する
concern,心配させる
hesitate,ためらう
disappoint,失望させる
regret,後悔する
doubt,疑う
admire,感心する
pray,祈る
rely,あてにする・頼る
resist,抵抗する
politics,政治
democracy,民主主義
freedom,自由
election,選挙
official,公の・公式の
moral,道徳的な
investigation,調査
data,資料・データ
aspect,面
factor,要因
analyze,分析する
focus,焦点を合わせる
concentrate,集中する
effect,影響・効果
,
,
consist,から成る・構成される
contain,含む・入っている
remain,残っている・ままである
require,必要とする
adopt,採用する
select,運ぶ
limit,制限する
unite,結合させる・合併する
connect,つなぐ・接続する
ingredient,要素・成分
represent,表す
indicate,指し示す・示す
prove,証明する
reveal,明らかにする
education,教育
experiment,実験
laboratory,研究室
principle,原理・主義
theory,理論・学説
statement,声明
scholarship,奨学金
truly,本当に
fully,十分に
slightly,わずかに・少しだけ
simply,単に・簡単に
gradually,だんだんと
entire,全体の・全部の
extreme,極度の
likely,ありそうな
,
direction,方向・方面
period,期間
sort,種類
variety,多様性・様々な
grade,等級・成績
rate,割合・率
balance,つり合い・バランス
image,像・イメージ
impression,印象
appearance,現れること・見かけ(外観)
attitude,態度
possibility,可能性
absolutely,完全に
adult,成人・大人
kid,子供
ancestor,先祖
crowd,群衆
owner,所有者・持ち主
speaker,話す人
captain,キャプテン
author,著者
director,指導者・監督
immigrant,移民
talent,才能
strict,厳しい・厳密な
severe,厳しい
cruel,残酷な
,
,
,
position,位置・地位
spot,場所
suburb,郊外
region,地方
apartment,アパート
base,土台・基礎
locate,場所を示す
upstairs,階上へ・２階へ
downtown,繁華街へ・中心街
frame,骨組み・わく
edge,ふち・端
surface,表面
section,区域
elsewhere,どこかほかのところで
everywhere,どこでも・いたるところに
gun,銃
weapon,武器
crime,罪・犯罪
poison,毒
alarm,驚き・警報器
shock,衝撃的なこと
thief,泥棒・空き巣
harm,害
risk,危険
steal,盗む
rob,奪う
crash,壊れる・衝突する
assure,保証する
,
,
explode,爆発する
pollute,汚染する
ruin,破壊する・台無しにする
arrest,逮捕する
grab,つかむ・つかみ取る
traffic,交通・交通量
transportation,輸送・交通機関
avenue,大通り
path,小道
license,許可・免許証
signal,信号機・合図
fuel,燃料
baggage,手荷物
used,中古の・なれる・(以前は)したものだ
patient,我慢強い・患者
shy,恥ずかしがりの・内気な
blind,目の見えない
funny,おかしい
serious,まじめな・重大な
ability,能力
capacity,収容力
quality,質・品質
technique,技術
craft,工芸
charm,魅力
confidence,信頼
,
,
,
,
advise,忠告する・助言する
suggest,提案する
recommend,推薦する・勧める
reply,返事をする・答える
describe,描写する
announce,発表する
insist,主張する
publish,出版する
debate,討論・議論
association,協会
committee,委員会
independence,独立・自立
duty,義務
structure,構造
